BLOCKID|DISTRICT
480019508002028|003
480019508002029|003
480019508002030|003
480019508002031|003
480019508002032|003
480019508002033|003
480019508002034|003
480019508002035|003
480019508002036|003
480019508002037|003
480019508002038|003
480019508002039|003
480019508002040|003
480019508002041|003
480019508003000|003
480019508003001|003
480019508003002|003
480019508003003|003
480019508003004|003
480019508003005|003
480019508003006|003
480019508003007|003
480019508003008|003
480019508003009|003
480019508003010|003
480019508003011|003
480019508003012|003
480019508003013|003
480019508003014|003
480019508003015|003
480019508003016|003
480019508003017|003
480019508003018|003
480019508003019|003
480019508003020|003
480019508003021|003
480019508003022|003
480019508003023|003
480019508003024|003
480019508003025|003
480019508003026|003
480019508003027|003
480019508003028|003
480019508003029|003
480019508003030|003
480019508003031|003
480019508003032|003
480019508003033|003
480019508003034|003
480019508003035|003
480019508003036|003
480019508003037|003
480019508003038|003
480019508003039|003
480019508003040|003
480019508003041|003
480019508004000|003
480019508004001|003
480019508004002|003
480019508004003|003
480019508004004|003
480019508004005|003
480019508004006|003
480019508004007|003
480019508004008|003
480019508004009|003
480019508004010|003
480019508004011|003
480019508004012|003
480019508004013|003
480019508004014|003
480019508004015|003
480019508004016|003
480019508004017|003
480019508004018|003
480019508004019|003
480019508004020|003
480019508004021|003
480019508004022|003
480019508004023|003
480019508004024|003
480019508004025|003
480019508004026|003
480019508004027|003
480019508005000|003
480019508005001|003
480019508005002|003
480019508005003|003
480019508005004|003
480019508005005|003
480019508005006|003
480019508005007|003
480019508005008|003
480019508005009|003
480019508005010|003
480019508005011|003
480019508005012|003
480019508005013|003
480019508005014|003
480019508005015|003
480019508005016|003
480019508005017|003
480019508005018|003
480019508005019|003
480019508005020|003
480019509011000|003
480019509011001|003
480019509011002|003
480019509011003|003
480019509011004|003
480019509011005|003
480019509011006|003
480019509011007|003
480019509011008|003
480019509011009|003
480019509011010|003
480019509011011|003
480019509011012|003
480019509011013|003
480019509011014|003
480019509011015|003
480019509011016|003
480019509011017|003
480019509011018|003
480019509011019|003
480019509011020|003
480019509011021|003
480019509011022|003
480019509011023|003
480019509011024|003
480019509011025|003
480019509011026|003
480019509011027|003
480019509011028|003
480019509011029|003
480019509011030|003
480019509011031|003
480019509011032|003
480019509011033|003
480019509011034|003
480019509011035|003
480019509011036|003
480019509011037|003
480019509011038|003
480019509011039|003
480019509011040|003
480019509011041|003
480019509011042|003
480019509011043|003
480019509011044|003
480019509011045|003
480019509011046|003
480019509011047|003
480019509011048|003
480019509011049|003
480019509011050|003
480019509011051|003
480019509011052|003
480019509011053|003
480019509011054|003
480019509011055|003
480019509011056|003
480019509011057|003
480019509011058|003
480019509011059|003
480019509011060|003
480019509011061|003
480019509011062|003
480019509011063|003
480019509011064|003
480019509011065|003
480019509011066|003
480019509012000|003
480019509012001|003
480019509012002|003
480019509012003|003
480019509012004|003
480019509012005|003
480019509012006|003
