BLOCKID|DISTRICT
480019507001023|34050
480019507001024|34050
480019507001025|34050
480019507001026|34050
480019507001027|34050
480019507001028|34050
480019507001029|34050
480019507001030|34050
480019507001031|34050
480019507001032|34050
480019507001033|34050
480019507001034|34050
480019507001035|34050
480019507001036|34050
480019507001037|34050
480019507001038|34050
480019507001039|34050
480019507001040|34050
480019507001041|34050
480019507001042|34050
480019507001043|34050
480019507001044|34050
480019507002000|34050
480019507002001|34050
480019507002002|34050
480019507002003|34050
480019507002004|34050
480019507002005|34050
480019507002006|34050
480019507002007|34050
480019507002008|34050
480019507002009|34050
480019507002010|34050
480019507002011|34050
480019507002012|34050
480019507002013|34050
480019507002014|34050
480019507002015|34050
480019507002016|34050
480019507002017|34050
480019507002018|34050
480019507002019|34050
480019507002020|34050
480019507002021|34050
480019507002022|34050
480019507002023|34050
480019507002024|34050
480019507002025|34050
480019507002026|34050
480019507002027|34050
480019507002028|34050
480019507002029|34050
480019507002030|34050
480019507002031|34050
480019507002032|34050
480019507002033|34050
480019507002034|34050
480019507002035|34050
480019507002036|34050
480019507002037|34050
480019507002038|34050
480019507002039|34050
480019507002040|34050
480019507002041|34050
480019507002042|34050
480019507002043|34050
480019507003000|34050
480019507003001|34050
480019507003002|34050
480019507003003|34050
480019507003004|34050
480019507003005|34050
480019507003006|34050
480019507003007|34050
480019507003008|34050
480019507003009|34050
480019507003010|34050
480019507003011|34050
480019507003012|34050
480019507003013|34050
480019507003014|34050
480019507003015|34050
480019507003016|34050
480019507003017|34050
480019507003018|34050
480019507003019|34050
480019507003020|34050
480019507003021|34050
480019507003022|34050
480019507003023|34050
480019507003024|34050
480019507003025|34050
480019507003026|34050
480019507003027|34050
480019507003028|34050
480019507003029|34050
480019507003030|34050
480019507003031|34050
480019507003032|34050
480019507003033|34050
480019507003034|34050
480019507003035|34050
480019507003036|34050
480019507003037|34050
480019507003038|34050
480019507003039|34050
480019507003040|34050
480019507003041|34050
480019507003042|34050
480019507003043|34050
480019507003044|34050
480019507003045|34050
480019507003046|34050
480019507003047|34050
480019507003048|34050
480019507003049|34050
480019507003050|34050
480019507003051|34050
480019507003052|34050
480019507003053|34050
480019507003054|34050
480019507003055|34050
480019507003056|34050
480019507003057|34050
480019507003058|34050
480019507003059|34050
480019507003060|34050
480019507003061|34050
480019507003062|34050
480019507003063|34050
480019507003064|34050
480019507003065|34050
480019507003066|34050
480019507003067|34050
480019507003068|34050
480019507003069|34050
480019507003070|34050
480019507003071|34050
480019507003072|34050
480019507003073|34050
480019507003074|34050
480019507003075|34050
480019507003076|34050
480019507003077|34050
480019507003078|34050
480019507003079|34050
480019507003080|34050
480019507003081|34050
480019507003082|34050
480019507003083|34050
480019507003084|34050
480019507003085|34050
480019507003086|34050
480019507003087|34050
480019507003088|34050
480019507003089|34050
480019508001000|34050
480019508001001|34050
480019508001002|34050
480019508001003|34050
480019508001004|34050
480019508001005|34050
480019508001006|34050
480019508001007|34050
480019508001008|34050
480019508001009|34050
480019508001010|34050
480019508001011|34050
480019508001012|34050
480019508001013|34050
480019508001014|34050
480019508001015|34050
480019508001016|34050
480019508001017|34050
480019508001018|34050
480019508001019|34050
480019508001020|34050
480019508001021|34050
480019508001022|34050
480019508001023|34050
480019508001024|34050
480019508001025|34050
480019508001026|34050
480019508001027|34050
480019508001028|34050
480019508001029|34050
480019508001030|18390
480019508001031|34050
480019508002000|34050
480019508002001|34050
480019508002002|34050
480019508002003|34050
480019508002004|34050
480019508002005|34050
480019508002006|34050
480019508002007|34050
480019508002008|34050
480019508002009|34050
480019508002010|34050
480019508002011|34050
480019508002012|34050
480019508002013|34050
480019508002014|34050
480019508002015|34050
480019508002016|34050
480019508002017|34050
480019508002018|34050
480019508002019|34050
480019508002020|34050
480019508002021|34050
480019508002022|34050
480019508002023|34050
480019508002024|34050
480019508002025|34050
480019508002026|34050
480019508002027|34050
480019508002028|34050
480019508002029|34050
480019508002030|34050
480019508002031|34050
480019508002032|34050
480019508002033|34050
480019508002034|34050
480019508002035|34050
480019508002036|34050
480019508002037|34050
480019508002038|34050
480019508002039|34050
480019508002040|34050
480019508002041|34050
480019508003000|34050
480019508003001|34050
480019508003002|34050
480019508003003|34050
480019508003004|34050
480019508003005|34050
480019508003006|34050
480019508003007|34050
480019508003008|34050
480019508003009|34050
480019508003010|34050
480019508003011|34050
480019508003012|34050
480019508003013|34050
480019508003014|34050
480019508003015|34050
480019508003016|34050
480019508003017|34050
480019508003018|34050
480019508003019|34050
480019508003020|34050
480019508003021|34050
480019508003022|34050
480019508003023|34050
480019508003024|34050
480019508003025|34050
480019508003026|34050
480019508003027|34050
480019508003028|34050
480019508003029|34050
480019508003030|34050
480019508003031|34050
480019508003032|34050
480019508003033|34050
480019508003034|34050
480019508003035|34050
480019508003036|34050
480019508003037|34050
480019508003038|34050
480019508003039|34050
480019508003040|34050
480019508003041|34050
480019508004000|34050
480019508004001|34050
480019508004002|34050
480019508004003|34050
480019508004004|34050
480019508004005|34050
480019508004006|34050
480019508004007|34050
480019508004008|34050
480019508004009|34050
480019508004010|34050
480019508004011|34050
480019508004012|34050
480019508004013|34050
480019508004014|34050
480019508004015|34050
480019508004016|34050
480019508004017|34050
480019508004018|34050
480019508004019|34050
480019508004020|34050
480019508004021|34050
480019508004022|34050
480019508004023|34050
480019508004024|34050
480019508004025|34050
480019508004026|34050
480019508004027|34050
480019508005000|34050
480019508005001|34050
480019508005002|34050
480019508005003|34050
480019508005004|34050
480019508005005|34050
480019508005006|34050
480019508005007|34050
480019508005008|34050
480019508005009|34050
480019508005010|34050
480019508005011|34050
480019508005012|34050
480019508005013|34050
480019508005014|34050
480019508005015|34050
480019508005016|34050
480019508005017|34050
480019508005018|34050
480019508005019|34050
480019508005020|34050
480019509011000|34050
480019509011001|43290
480019509011002|34050
480019509011003|34050
480019509011004|43290
480019509011005|34050
480019509011006|18390
480019509011007|18390
480019509011008|18390
480019509011009|43290
480019509011010|43290
480019509011011|43290
480019509011012|43290
480019509011013|43290
480019509011014|43290
480019509011015|43290
480019509011016|43290
480019509011017|43290
480019509011018|43290
480019509011019|18390
480019509011020|43290
480019509011021|43290
480019509011022|43290
480019509011023|43290
480019509011024|43290
480019509011025|43290
480019509011026|43290
480019509011027|43290
480019509011028|43290
480019509011029|43290
480019509011030|43290
480019509011031|43290
480019509011032|43290
480019509011033|43290
480019509011034|43290
480019509011035|43290
480019509011036|43290
480019509011037|18390
480019509011038|43290
480019509011039|43290
480019509011040|43290
480019509011041|43290
480019509011042|43290
480019509011043|43290
480019509011044|43290
480019509011045|43290
480019509011046|18390
480019509011047|43290
480019509011048|43290
480019509011049|18390
480019509011050|18390
480019509011051|43290
480019509011052|43290
480019509011053|43290
480019509011054|43290
480019509011055|43290
480019509011056|43290
480019509011057|43290
480019509011058|18390
480019509011059|43290
480019509011060|43290
480019509011061|43290
480019509011062|43290
480019509011063|43290
480019509011064|43290
480019509011065|43290
480019509011066|43290
480019509012000|18390
480019509012001|18390
480019509012002|34050
480019509012003|18390
480019509012004|34050
480019509012005|34050
480019509012006|18390
480019509012007|34050
480019509012008|34050
480019509012009|34050
480019509012010|34050
480019509012011|34050
480019509012012|34050
480019509012013|34050
480019509012014|34050
480019509012015|34050
480019509012016|34050
480019509012017|34050
480019509012018|34050
480019509012019|18390
480019509012020|18390
480019509012021|34050
480019509012022|34050
480019509012023|34050
480019509012024|34050
480019509012025|18390
480019509012026|18390
480019509012027|18390
480019509012028|18390
480019509012029|18390
480019509012030|43290
480019509012031|18390
480019509012032|34050
480019509012033|18390
480019509012034|18390
480019509012035|18390
480019509013000|43290
480019509013001|43290
480019509013002|43290
480019509013003|43290
480019509013004|43290
480019509013005|43290
480019509013006|43290
480019509013007|43290
480019509013008|43290
480019509013009|43290
480019509013010|43290
480019509013011|43290
480019509013012|43290
480019509013013|43290
480019509013014|43290
480019509013015|43290
480019509013016|43290
480019509013017|43290
480019509013018|43290
480019509013019|43290
480019509013020|43290
480019509013021|43290
480019509014000|34050
480019509014001|34050
480019509014002|34050
480019509014003|34050
480019509014004|34050
480019509014005|34050
480019509014006|34050
480019509014007|43290
480019509014008|34050
480019509014009|34050
480019509014010|34050
480019509014011|34050
480019509014012|34050
480019509014013|34050
480019509014014|34050
480019509014015|34050
480019509014016|34050
480019509014017|43290
480019509014018|34050
480019509014019|34050
480019509014020|43290
480019509014021|43290
480019509014022|43290
480019509014023|43290
480019509014024|34050
480019509014025|43290
480019509014026|43290
480019509014027|43290
480019509014028|43290
480019509014029|43290
480019509014030|34050
480019509014031|34050
480019509014032|34050
480019509014033|43290
480019509014034|34050
480019509014035|34050
480019509014036|34050
480019509014037|13200
480019509014038|13200
480019509014039|43290
480019509014040|43290
480019509014041|43290
480019509014042|34050
480019509014043|43290
480019509014044|43290
480019509014045|43290
480019509014046|43290
480019509014047|43290
480019509014048|43290
480019509014049|43290
480019509014050|43290
480019509014051|43290
480019509014052|43290
480019509014053|43290
480019509014054|43290
480019509014055|43290
480019509014056|43290
480019509014057|43290
480019509014058|43290
480019509014059|43290
480019509014060|43290
480019509014061|43290
480019509014062|43290
480019509014063|43290
480019509014064|43290
480019509014065|43290
480019509014066|43290
480019509014067|43290
480019509014068|43290
480019509014069|43290
480019509014070|13200
480019509014071|13200
480019509014072|43290
480019509014073|43290
480019509014074|34050
480019509014075|43290
480019509021000|40500
480019509021001|40500
480019509021002|40500
480019509021003|40500
480019509021004|40500
480019509021005|40500
480019509021006|40500
480019509021007|40500
480019509021008|40500
480019509021009|40500
480019509021010|40500
480019509021011|40500
480019509021012|40500
480019509021013|40500
480019509021014|40500
480019509021015|40500
480019509021016|40500
480019509021017|40500
480019509021018|40500
480019509021019|40500
480019509021020|40500
480019509021021|40500
480019509021022|40500
480019509021023|40500
480019509021024|40500
480019509021025|18390
480019509021026|40500
480019509021027|40500
480019509021028|34050
480019509021029|40500
480019509021030|40500
480019509021031|34050
480019509021032|34050
480019509021033|34050
480019509021034|40500
480019509021035|40500
480019509021036|34050
480019509021037|40500
480019509021038|34050
480019509021039|34050
480019509021040|34050
480019509021041|34050
480019509021042|34050
480019509021043|34050
480019509021044|34050
480019509021045|34050
480019509021046|34050
480019509021047|34050
480019509021048|34050
480019509021049|34050
480019509021050|34050
480019509021051|34050
480019509021052|34050
480019509021053|34050
480019509021054|40500
480019509021055|40500
480019509021056|34050
480019509021057|34050
480019509021058|40500
480019509021059|40500
480019509021060|18390
480019509021061|40500
480019509021062|34050
480019509021063|40500
480019509021064|18390
480019509021065|18390
480019509021066|18390
480019509021067|18390
480019509021068|34050
480019509022000|32250
480019509022001|32250
480019509022002|32250
480019509022003|32250
480019509022004|32250
480019509022005|32250
480019509022006|34050
480019509022007|32250
480019509022008|34050
480019509022009|34050
480019509022010|34050
480019509022011|34050
480019509022012|34050
480019509022013|32250
480019509022014|32250
480019509022015|32250
480019509022016|32250
480019509022017|32250
480019509022018|32250
480019509022019|32250
480019509022020|32250
480019509022021|34050
480019509022022|34050
480019509022023|34050
480019509022024|34050
480019509022025|34050
480019509022026|34050
480019509022027|34050
480019509022028|40500
480019509022029|40500
480019509022030|40500
480019509022031|40500
480019509022032|40500
480019509022033|40500
480019509022034|40500
480019509022035|34050
480019509022036|32250
480019509022037|32250
480019509022038|34050
480019509022039|34050
480019509022040|34050
480019509022041|34050
480019509022042|34050
480019509022043|34050
480019509022044|32250
480019509022045|32250
480019509022046|32250
480019509022047|32250
480019509022048|40500
480019509022049|40500
480019509022050|34050
480019509022051|34050
480019509022052|34050
480019509022053|34050
480019509022054|34050
480019509022055|34050
480019509022056|34050
480019509022057|34050
480019509022058|34050
480019509022059|34050
480019509022060|34050
480019509022061|34050
480019509022062|34050
480019509022063|34050
480019509022064|34050
