BLOCKID|COUNTYFP|DISTRICT
480019506003037|001|000007
480019506003038|001|000007
480019506003039|001|000007
480019506003040|001|000007
480019506003041|001|000019
480019506003042|001|000007
480019506003043|001|000007
480019506003044|001|000007
480019506003045|001|000007
480019506003046|001|000007
480019506003047|001|000019
480019506003048|001|000019
480019506003049|001|000019
480019506003050|001|000019
480019506003051|001|000019
480019506003052|001|000019
480019506003053|001|000019
480019506003054|001|000019
480019506003055|001|000019
480019506003056|001|000019
480019506003057|001|000019
480019506003058|001|000019
480019506003059|001|000019
480019506003060|001|000007
480019506003061|001|000007
480019506003062|001|000007
480019506003063|001|000007
480019506003064|001|000007
480019506003065|001|000009
480019506003066|001|000019
480019506003067|001|000019
480019506003068|001|000019
480019506003069|001|000019
480019506003070|001|000019
480019506003071|001|000019
480019506003072|001|000019
480019506003073|001|000019
480019506003074|001|000019
480019506003075|001|000009
480019506003076|001|000009
480019506003077|001|000009
480019506003078|001|000009
480019506003079|001|000009
480019506003080|001|000009
480019506003081|001|000009
480019506003082|001|000009
480019506003083|001|000019
480019506003084|001|000019
480019506003085|001|000019
480019506003086|001|000019
480019506003087|001|000019
480019506003088|001|000009
480019506003089|001|000009
480019506004000|001|000021
480019506004001|001|000019
480019506004002|001|000019
480019506004003|001|000019
480019506004004|001|000019
480019506004005|001|000019
480019506004006|001|000019
480019506004007|001|000019
480019506004008|001|000019
480019506004009|001|000021
480019506004010|001|000019
480019506004011|001|000019
480019506004012|001|000019
480019506004013|001|000019
480019506004014|001|000019
480019506004015|001|000019
480019506004016|001|000019
480019506004017|001|000019
480019506004018|001|000009
480019506004019|001|000009
480019506004020|001|000019
480019506004021|001|000019
480019506004022|001|000019
480019506004023|001|000009
480019506004024|001|000009
480019506004025|001|000009
480019506004026|001|000009
480019506004027|001|000019
480019506004028|001|000019
480019506004029|001|000019
480019506004030|001|000019
480019506004031|001|000019
480019507001000|001|000006
480019507001001|001|000006
480019507001002|001|000006
480019507001003|001|000006
480019507001004|001|000006
480019507001005|001|000006
480019507001006|001|000006
480019507001007|001|000006
480019507001008|001|000006
480019507001009|001|000006
480019507001010|001|000006
480019507001011|001|000006
480019507001012|001|000006
480019507001013|001|000006
480019507001014|001|000006
480019507001015|001|000006
480019507001016|001|000006
480019507001017|001|000006
480019507001018|001|000006
480019507001019|001|000006
480019507001020|001|000006
480019507001021|001|000006
480019507001022|001|000006
480019507001023|001|000006
480019507001024|001|000006
480019507001025|001|000006
480019507001026|001|000006
480019507001027|001|000006
480019507001028|001|000006
480019507001029|001|000006
480019507001030|001|000006
480019507001031|001|000006
480019507001032|001|000006
480019507001033|001|000006
480019507001034|001|000006
480019507001035|001|000006
480019507001036|001|000006
480019507001037|001|000006
480019507001038|001|000006
480019507001039|001|000006
480019507001040|001|000006
480019507001041|001|000006
480019507001042|001|000006
480019507001043|001|000006
480019507001044|001|000006
480019507002000|001|000006
480019507002001|001|000006
480019507002002|001|000007
480019507002003|001|000007
480019507002004|001|000007
480019507002005|001|000007
480019507002006|001|000007
480019507002007|001|000007
480019507002008|001|000007
480019507002009|001|000006
480019507002010|001|000006
480019507002011|001|000006
480019507002012|001|000006
480019507002013|001|000006
480019507002014|001|000006
480019507002015|001|000006
480019507002016|001|000006
480019507002017|001|000006
480019507002018|001|000006
480019507002019|001|000006
480019507002020|001|000006
480019507002021|001|000006
480019507002022|001|000006
480019507002023|001|000006
480019507002024|001|000006
480019507002025|001|000006
480019507002026|001|000006
480019507002027|001|000006
480019507002028|001|000006
480019507002029|001|000006
480019507002030|001|000006
480019507002031|001|000006
480019507002032|001|000007
480019507002033|001|000007
480019507002034|001|000007
480019507002035|001|000007
480019507002036|001|000007
480019507002037|001|000006
480019507002038|001|000006
480019507002039|001|000006
480019507002040|001|000006
480019507002041|001|000006
480019507002042|001|000006
480019507002043|001|000007
480019507003000|001|000008
480019507003001|001|000008
480019507003002|001|000008
480019507003003|001|000008
480019507003004|001|000008
480019507003005|001|000008
480019507003006|001|000008
480019507003007|001|000008
480019507003008|001|000008
480019507003009|001|000008
480019507003010|001|000008
480019507003011|001|000008
480019507003012|001|000008
480019507003013|001|000008
480019507003014|001|000007
480019507003015|001|000007
480019507003016|001|000007
480019507003017|001|000007
480019507003018|001|000007
480019507003019|001|000007
480019507003020|001|000007
480019507003021|001|000007
480019507003022|001|000007
480019507003023|001|000007
480019507003024|001|000007
480019507003025|001|000007
480019507003026|001|000007
480019507003027|001|000007
480019507003028|001|000008
480019507003029|001|000008
480019507003030|001|000008
480019507003031|001|000008
480019507003032|001|000008
480019507003033|001|000008
480019507003034|001|000008
480019507003035|001|000008
480019507003036|001|000008
480019507003037|001|000008
480019507003038|001|000008
480019507003039|001|000007
480019507003040|001|000007
480019507003041|001|000007
480019507003042|001|000007
480019507003043|001|000007
480019507003044|001|000007
480019507003045|001|000007
480019507003046|001|000007
480019507003047|001|000007
480019507003048|001|000007
480019507003049|001|000007
480019507003050|001|000007
480019507003051|001|000008
480019507003052|001|000008
480019507003053|001|000008
480019507003054|001|000008
480019507003055|001|000008
480019507003056|001|000008
480019507003057|001|000008
480019507003058|001|000008
480019507003059|001|000008
480019507003060|001|000013
480019507003061|001|000013
480019507003062|001|000007
480019507003063|001|000007
480019507003064|001|000007
480019507003065|001|000006
480019507003066|001|000006
480019507003067|001|000006
480019507003068|001|000006
480019507003069|001|000006
480019507003070|001|000006
480019507003071|001|000006
480019507003072|001|000006
480019507003073|001|000006
480019507003074|001|000006
480019507003075|001|000006
480019507003076|001|000006
480019507003077|001|000006
480019507003078|001|000006
480019507003079|001|000006
480019507003080|001|000006
480019507003081|001|000006
480019507003082|001|000006
480019507003083|001|000006
480019507003084|001|000006
480019507003085|001|000006
480019507003086|001|000006
480019507003087|001|000006
480019507003088|001|000006
480019507003089|001|000006
480019508001000|001|000001
480019508001001|001|000001
480019508001002|001|000001
480019508001003|001|000001
480019508001004|001|000001
480019508001005|001|000001
480019508001006|001|000001
480019508001007|001|000001
480019508001008|001|000001
480019508001009|001|000003
480019508001010|001|000003
480019508001011|001|000003
480019508001012|001|000001
480019508001013|001|000001
480019508001014|001|000001
480019508001015|001|000001
480019508001016|001|000001
480019508001017|001|000001
480019508001018|001|000001
480019508001019|001|000001
480019508001020|001|000001
480019508001021|001|000003
480019508001022|001|000001
480019508001023|001|000001
480019508001024|001|000001
480019508001025|001|000003
480019508001026|001|000003
480019508001027|001|000003
480019508001028|001|000003
480019508001029|001|000003
480019508001030|001|000003
480019508001031|001|000003
480019508002000|001|000013
480019508002001|001|000015
480019508002002|001|000013
480019508002003|001|000013
480019508002004|001|000013
480019508002005|001|000013
480019508002006|001|000013
480019508002007|001|000013
480019508002008|001|000001
480019508002009|001|000003
480019508002010|001|000015
480019508002011|001|000003
480019508002012|001|000003
480019508002013|001|000003
480019508002014|001|000001
480019508002015|001|000001
480019508002016|001|000001
480019508002017|001|000001
480019508002018|001|000001
480019508002019|001|000001
480019508002020|001|000001
480019508002021|001|000001
480019508002022|001|000001
480019508002023|001|000001
480019508002024|001|000001
480019508002025|001|000001
480019508002026|001|000001
480019508002027|001|000001
480019508002028|001|000001
480019508002029|001|000001
